district;rooms;area_m2;lift;prices
Eixample;4;94;Yes;389000
Les Corts;3;64;Yes;260000
Sarrià-Sant Gervasi;3;105;Yes;580000
Gràcia;2;56;No;312000
Les Corts;5;309;Yes;2000000
Les Corts;2;72;Yes;290000
Nou Barris;3;77;No;139900
Horta-Guinardó;1;50;No;230000
Sarrià-Sant Gervasi;3;149;Yes;1400000
Nou Barris;3;65;Yes;185000
Les Corts;3;85;Yes;265000
Eixample;4;190;Yes;895000
Ciutat Vella;2;39;Yes;159900
Sarrià-Sant Gervasi;3;86;Yes;365000
Eixample;4;60;Yes;210000
Ciutat Vella;2;70;Yes;375000
Ciutat Vella;1;52;Yes;200000
Sarrià-Sant Gervasi;3;183;Yes;1790000
Sarrià-Sant Gervasi;5;270;Yes;1395000
Sarrià-Sant Gervasi;4;128;Yes;649000
Sants-Montjuïc;3;95;Yes;365000
Sarrià-Sant Gervasi;3;113;Yes;750000
Nou Barris;3;60;Yes;149500
Eixample;4;107;Yes;435000
Ciutat Vella;2;92;No;380000
Eixample;2;103;Yes;399000
Ciutat Vella;1;50;Yes;290000
Eixample;3;72;Yes;360000
Ciutat Vella;3;73;No;245000
Sant Martí;2;75;Yes;235000
Eixample;3;146;Yes;1430000
Sant Martí;4;170;No;453000
Sant Martí;3;129;Yes;470000
Sant Martí;4;90;Yes;380000
Sant Martí;2;50;Yes;209000
Eixample;2;230;Yes;1295000
Eixample;5;209;Yes;859000
Sants-Montjuïc;3;59;Yes;178000
Sarrià-Sant Gervasi;5;188;Yes;880000
Gràcia;4;90;Yes;349000
Les Corts;5;300;Yes;1950000
Ciutat Vella;5;161;Yes;690000
Sarrià-Sant Gervasi;6;304;Yes;1670000
Nou Barris;4;70;Yes;270000
Sant Martí;4;100;Yes;270000
Les Corts;5;269;Yes;1550000
Ciutat Vella;3;49;No;147000
Sarrià-Sant Gervasi;4;230;Yes;2050000
Les Corts;4;185;No;860000
Eixample;3;153;No;790000
Les Corts;3;85;Yes;349000
Sant Andreu;3;64;No;134900
Sant Andreu;3;95;Yes;298000
Sants-Montjuïc;3;60;Yes;175000
Sant Martí;4;100;Yes;270000
Sants-Montjuïc;4;110;Yes;360000
Sarrià-Sant Gervasi;6;412;Yes;1850000
Eixample;3;179;Yes;1650000
Eixample;2;76;No;189000
Eixample;3;100;No;320000
Eixample;2;85;Yes;345000
Sarrià-Sant Gervasi;4;177;Yes;895000
Nou Barris;2;55;Yes;133900
Sant Martí;5;120;Yes;375000
Sants-Montjuïc;1;41;No;199000
Eixample;4;90;Yes;550000
Sarrià-Sant Gervasi;13;491;No;3500000
Sarrià-Sant Gervasi;3;100;Yes;650000
Eixample;3;131;Yes;619000
Horta-Guinardó;3;65;No;170000
Sants-Montjuïc;3;68;Yes;249000
Ciutat Vella;2;65;Yes;330000
Sarrià-Sant Gervasi;2;87;Yes;600000
Sant Martí;1;56;No;220000
Sant Martí;2;104;Yes;470000
Sant Martí;3;91;Yes;189000
Sarrià-Sant Gervasi;5;160;Yes;770000
Sant Martí;1;55;Yes;235000
Ciutat Vella;5;162;No;495000
Les Corts;5;212;Yes;1595000
Sant Andreu;3;57;Yes;165000
Ciutat Vella;3;114;No;335000
Sarrià-Sant Gervasi;6;516;No;3750000
Sant Martí;3;58;No;180000
Sant Martí;1;64;Yes;400000
Sant Martí;1;65;Yes;400000
Sant Martí;4;133;Yes;990000
Sant Andreu;3;82;Yes;229000
Ciutat Vella;3;112;Yes;790000
Eixample;3;135;Yes;639000
Sarrià-Sant Gervasi;3;190;Yes;890000
Sant Martí;3;76;Yes;180000
Horta-Guinardó;2;65;No;169800
Horta-Guinardó;2;80;Yes;299000
Les Corts;2;48;Yes;199000
Eixample;4;140;Yes;599850
Nou Barris;3;60;Yes;149500
Eixample;4;77;Yes;255000
Ciutat Vella;1;80;Yes;250000
Eixample;3;90;Yes;499000
Sants-Montjuïc;3;64;Yes;220000
Ciutat Vella;1;58;Yes;370000
Les Corts;3;271;Yes;2980000
Sant Martí;3;70;Yes;321500
Sarrià-Sant Gervasi;3;230;Yes;1980000
Ciutat Vella;2;83;Yes;390000
Sants-Montjuïc;2;50;No;250000
Horta-Guinardó;2;158;Yes;365000
Ciutat Vella;2;92;No;380000
Sarrià-Sant Gervasi;3;180;Yes;885000
Sants-Montjuïc;1;50;Yes;243000
Sant Martí;2;60;No;259999
Eixample;2;90;Yes;590000
Sant Martí;2;81;No;225000
Sarrià-Sant Gervasi;4;178;No;995000
Les Corts;3;106;Yes;495000
Sants-Montjuïc;3;92;Yes;269000
Gràcia;2;85;No;410000
Sarrià-Sant Gervasi;4;139;Yes;790000
Horta-Guinardó;3;81;No;199000
Sarrià-Sant Gervasi;4;201;No;1590000
Gràcia;4;93;Yes;340000
Les Corts;3;71;Yes;395000
Sarrià-Sant Gervasi;3;300;No;1295000
Sant Martí;4;94;Yes;515000
Sant Martí;3;68;Yes;287000
Sarrià-Sant Gervasi;5;238;Yes;1265000
Eixample;7;336;Yes;1150000
Sant Martí;3;86;Yes;470000
Sant Martí;2;90;No;390000
Horta-Guinardó;3;87;Yes;322000
Gràcia;2;75;Yes;365000
Horta-Guinardó;3;98;Yes;397000
Eixample;4;155;Yes;695000
Eixample;2;101;Yes;780000
Eixample;4;133;Yes;539000
Sant Martí;3;156;Yes;1050000
Eixample;4;174;Yes;850000
Sant Andreu;3;88;Yes;445000
Sant Martí;3;200;No;1050000
Sant Martí;2;75;Yes;239000
Gràcia;2;64;Yes;239000
Sants-Montjuïc;3;83;Yes;200000
Sarrià-Sant Gervasi;5;210;Yes;1090000
Sarrià-Sant Gervasi;5;554;No;2975000
Sarrià-Sant Gervasi;5;600;No;1648000
Sant Martí;3;67;Yes;169000
Eixample;6;133;Yes;720000
Sarrià-Sant Gervasi;5;200;Yes;890000
Sants-Montjuïc;3;110;Yes;360000
Ciutat Vella;2;62;Yes;195000
Eixample;4;123;Yes;595000
Eixample;3;121;Yes;595000
Gràcia;4;125;Yes;525000
Sarrià-Sant Gervasi;4;145;Yes;649000
Sant Martí;3;176;Yes;1522500
Eixample;3;111;Yes;490000
Eixample;5;150;Yes;545000
Eixample;2;120;Yes;599000
Sant Martí;3;83;Yes;360000
Eixample;4;84;Yes;299000
Sants-Montjuïc;3;159;No;450000
Horta-Guinardó;3;90;Yes;435000
Sants-Montjuïc;2;92;Yes;319000
Eixample;2;69;Yes;279500
Nou Barris;3;72;Yes;240000
Gràcia;2;94;Yes;285000
Sant Martí;3;103;Yes;375000
Eixample;1;150;Yes;850000
Eixample;4;148;Yes;629000
Sarrià-Sant Gervasi;3;155;No;665000
Sarrià-Sant Gervasi;3;116;No;395000
Sarrià-Sant Gervasi;5;220;No;625000
Sarrià-Sant Gervasi;6;480;No;1350000
Ciutat Vella;1;50;No;185000
Les Corts;4;180;Yes;990000
Sarrià-Sant Gervasi;6;305;Yes;1600000
Les Corts;4;105;Yes;420000
Ciutat Vella;5;80;No;299000
Eixample;4;231;Yes;2750000
Ciutat Vella;3;109;Yes;685000
Eixample;4;145;Yes;760000
Ciutat Vella;2;89;Yes;550000
Sants-Montjuïc;5;295;No;1075000
Eixample;5;182;Yes;990000
Sarrià-Sant Gervasi;5;217;Yes;1150000
Ciutat Vella;4;172;Yes;1145000
Sarrià-Sant Gervasi;3;220;Yes;1100000
Les Corts;2;72;Yes;290000
