Unix;Date;Close
1,65681E+12;03/07/2022;19315.83
1,65672E+12;02/07/2022;19252.81
1,65663E+12;01/07/2022;19279.8
1,65655E+12;30/06/2022;19942.21
1,65646E+12;29/06/2022;20123.01
1,65637E+12;28/06/2022;20281.29
1,65629E+12;27/06/2022;20742.56
1,6562E+12;26/06/2022;21038.07
1,65612E+12;25/06/2022;21491.19
1,65603E+12;24/06/2022;21237.69
1,65594E+12;23/06/2022;21110.13
1,65586E+12;22/06/2022;19987.99
1,65577E+12;21/06/2022;20723.52
1,65568E+12;20/06/2022;20573.89
1,6556E+12;19/06/2022;20574.0
1,65551E+12;18/06/2022;18970.79
1,65542E+12;17/06/2022;20468.81
1,65534E+12;16/06/2022;20401.31
1,65525E+12;15/06/2022;22583.72
1,65516E+12;14/06/2022;22136.41
1,65508E+12;13/06/2022;22487.41
1,65499E+12;12/06/2022;26574.53
1,65491E+12;11/06/2022;28424.7
1,65482E+12;10/06/2022;29091.88
1,65473E+12;09/06/2022;30109.93
1,65465E+12;08/06/2022;30204.77
1,65456E+12;07/06/2022;31125.33
1,65447E+12;06/06/2022;31373.1
1,65439E+12;05/06/2022;29919.21
1,6543E+12;04/06/2022;29864.04
1,65421E+12;03/06/2022;29700.21
1,65413E+12;02/06/2022;30452.62
1,65404E+12;01/06/2022;29805.83
1,65396E+12;31/05/2022;31801.04
1,65387E+12;30/05/2022;31734.22
1,65378E+12;29/05/2022;29468.1
1,6537E+12;28/05/2022;29031.33
1,65361E+12;27/05/2022;28629.8
1,65352E+12;26/05/2022;29201.35
1,65344E+12;25/05/2022;29542.15
1,65335E+12;24/05/2022;29654.58
1,65326E+12;23/05/2022;29109.15
1,65318E+12;22/05/2022;30293.94
1,65309E+12;21/05/2022;29445.06
1,653E+12;20/05/2022;29201.01
1,65292E+12;19/05/2022;30319.23
1,65283E+12;18/05/2022;28715.32
1,65275E+12;17/05/2022;30444.93
1,65266E+12;16/05/2022;29874.01
1,65257E+12;15/05/2022;31328.89
1,65249E+12;14/05/2022;30086.74
1,6524E+12;13/05/2022;29287.05
1,65231E+12;12/05/2022;29029.75
1,65223E+12;11/05/2022;29103.94
1,65214E+12;10/05/2022;31017.1
1,65205E+12;09/05/2022;30076.31
1,65197E+12;08/05/2022;34038.4
1,65188E+12;07/05/2022;35472.39
1,6518E+12;06/05/2022;36013.77
1,65171E+12;05/05/2022;36552.97
1,65162E+12;04/05/2022;39690.0
1,65154E+12;03/05/2022;37728.95
1,65145E+12;02/05/2022;38525.16
1,65136E+12;01/05/2022;38468.35
1,65128E+12;30/04/2022;37630.8
1,65119E+12;29/04/2022;38596.11
1,6511E+12;28/04/2022;39742.07
1,65102E+12;27/04/2022;39235.72
1,65093E+12;26/04/2022;38112.65
1,65084E+12;25/04/2022;40426.08
1,65076E+12;24/04/2022;39450.13
1,65067E+12;23/04/2022;39441.6
1,65059E+12;22/04/2022;39709.18
1,6505E+12;21/04/2022;40480.01
1,65041E+12;20/04/2022;41358.19
1,65033E+12;19/04/2022;41493.18
1,65024E+12;18/04/2022;40801.13
1,65015E+12;17/04/2022;39678.12
1,65007E+12;16/04/2022;40378.71
1,64998E+12;15/04/2022;40551.9
1,64989E+12;14/04/2022;39942.38
1,64981E+12;13/04/2022;41147.79
1,64972E+12;12/04/2022;40074.94
1,64964E+12;11/04/2022;39530.45
1,64955E+12;10/04/2022;42158.85
1,64946E+12;09/04/2022;42753.97
1,64938E+12;08/04/2022;42252.01
1,64929E+12;07/04/2022;43444.19
1,6492E+12;06/04/2022;43170.47
1,64912E+12;05/04/2022;45497.55
1,64903E+12;04/04/2022;46580.51
1,64894E+12;03/04/2022;46407.35
1,64886E+12;02/04/2022;45811.0
1,64877E+12;01/04/2022;46283.49
1,64868E+12;31/03/2022;45510.34
1,6486E+12;30/03/2022;47067.99
1,64851E+12;29/03/2022;47434.8
1,64843E+12;28/03/2022;47122.21
1,64834E+12;27/03/2022;46827.76
1,64825E+12;26/03/2022;44511.27
1,64817E+12;25/03/2022;44313.16
1,64808E+12;24/03/2022;43991.46
1,64799E+12;23/03/2022;42882.76
1,64791E+12;22/03/2022;42364.13
1,64782E+12;21/03/2022;41002.25
1,64773E+12;20/03/2022;41262.11
1,64765E+12;19/03/2022;42201.13
1,64756E+12;18/03/2022;41757.51
1,64748E+12;17/03/2022;40917.9
1,64739E+12;16/03/2022;41114.0
1,6473E+12;15/03/2022;39280.33
1,64722E+12;14/03/2022;39671.37
1,64713E+12;13/03/2022;37777.34
1,64704E+12;12/03/2022;38807.36
1,64696E+12;11/03/2022;38729.57
1,64687E+12;10/03/2022;39422.0
1,64678E+12;09/03/2022;41941.71
1,6467E+12;08/03/2022;38730.63
1,64661E+12;07/03/2022;37988.0
1,64652E+12;06/03/2022;38420.81
1,64644E+12;05/03/2022;39397.96
1,64635E+12;04/03/2022;39148.66
1,64627E+12;03/03/2022;42454.0
1,64618E+12;02/03/2022;43892.98
1,64609E+12;01/03/2022;44421.2
1,64601E+12;28/02/2022;43160.0
1,64592E+12;27/02/2022;37699.07
1,64583E+12;26/02/2022;39116.72
1,64575E+12;25/02/2022;39219.17
1,64566E+12;24/02/2022;38327.21
1,64557E+12;23/02/2022;37250.01
1,64549E+12;22/02/2022;38230.33
1,6454E+12;21/02/2022;37008.16
1,64532E+12;20/02/2022;38386.89
1,64523E+12;19/02/2022;40079.17
1,64514E+12;18/02/2022;39974.44
1,64506E+12;17/02/2022;40515.7
1,64497E+12;16/02/2022;43873.56
1,64488E+12;15/02/2022;44544.86
1,6448E+12;14/02/2022;42535.94
1,64471E+12;13/02/2022;42053.66
1,64462E+12;12/02/2022;42217.87
1,64454E+12;11/02/2022;42373.73
1,64445E+12;10/02/2022;43495.44
1,64436E+12;09/02/2022;44372.72
1,64428E+12;08/02/2022;44042.99
1,64419E+12;07/02/2022;43839.99
1,64411E+12;06/02/2022;42380.87
1,64402E+12;05/02/2022;41382.59
1,64393E+12;04/02/2022;41574.25
1,64385E+12;03/02/2022;37311.61
