district;neighborhood;condition;type;rooms;area_m2;floor;prices;lift;views
Gràcia;la Salut;new;Duplex;2;97;ground floor;510000;Yes;exterior
Gràcia;la Salut;new;Duplex;1;75;ground floor;350000;Yes;exterior
Sants-Montjuïc;Sants - Badal;new;Flat;2;88; floor 1;394000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;new;Flat;2;84; floor 2;545000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;new;Flat;2;84;mezzanine;530000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;new;Flat;2;82;mezzanine;510000;Yes;exterior
Eixample;la Sagrada Família;new;Flat;3;120; floor 2;628000;Yes;exterior
Eixample;la Sagrada Família;new;Flat;3;120; floor 5;675000;Yes;exterior
Eixample;la Sagrada Família;new;Flat;3;120; floor 4;660000;Yes;exterior
Eixample;la Sagrada Família;new;Flat;3;120; floor 3;640000;Yes;exterior
Gràcia;Vallcarca i els Penitents;new;Flat;3;120; floor 2;495000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Penthouse;2;56; floor 4;326000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;4;101;ground floor;545000;Yes;exterior
Sant Andreu;el Congrés i els Indians;new;Penthouse;2;84; floor 4;430000;Yes;exterior
Sant Andreu;el Congrés i els Indians;new;Flat;2;84; floor 3;360000;Yes;exterior
Sant Andreu;el Congrés i els Indians;new;Flat;2;84; floor 1;340000;Yes;exterior
Sant Andreu;el Congrés i els Indians;new;Duplex;3;118;ground floor;480000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;3;96; floor 1;535000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;3;96; floor 4;570000;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;3;94; floor 4;537500;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;2;73; floor 2;387125;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;1;66; floor 3;390000;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;2;73; floor 1;375250;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;3;94; floor 5;555000;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;1;66; floor 1;349125;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;1;66; floor 2;358125;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;2;73; floor 3;420000;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;1;66; floor 5;415000;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;3;94; floor 2;482125;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;3;94; floor 1;473575;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;3;98; floor 1;398500;Yes;exterior
Horta-Guinardó;el Guinardó;new;Duplex;1;103;ground floor;262000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;2;83; floor 1;351500;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;4;158; floor 1;685500;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;3;94; floor 1;474000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;2;67; floor 1;342000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;new;Flat;3;105; floor 4;1280000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;new;Flat;2;62; floor 3;583000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;new;Flat;2;63; floor 2;561000;Yes;exterior
Sant Martí;el Clot;new;Flat;3;101; floor 1;459000;Yes;exterior
Sant Martí;el Clot;new;Flat;2;92; floor 1;399000;Yes;exterior
Sant Martí;el Clot;new;Flat;4;130; floor 1;570000;Yes;exterior
Ciutat Vella;el Raval;new;Flat;1;58; floor 1;339000;Yes;exterior
Ciutat Vella;el Raval;new;Flat;2;60; floor 1;364000;Yes;exterior
Ciutat Vella;el Raval;new;Flat;1;86;ground floor;462000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Penthouse;2;57; floor 8;795000;Yes;exterior
Les Corts;les Corts;new;Flat;2;185; floor 5;1600000;Yes;exterior
Les Corts;les Corts;new;Flat;2;99; floor 5;715000;Yes;exterior
Gràcia;la Salut;new;Flat;2;72; floor 4;520000;Yes;exterior
Gràcia;la Salut;new;Flat;2;72; floor 3;495000;Yes;exterior
Gràcia;la Salut;new;Flat;3;94; floor 4;630000;Yes;exterior
Gràcia;la Salut;new;Flat;1;51; floor 1;322000;Yes;exterior
Gràcia;la Salut;new;Flat;3;94; floor 3;615000;Yes;exterior
Gràcia;la Salut;new;Flat;1;61; floor 1;350000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;new;Flat;2;64; floor 2;435200;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;new;Flat;1;55; floor 4;378000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;new;Flat;2;64; floor 3;448000;Yes;exterior
Horta-Guinardó;la Teixonera;new;Flat;2;53; floor 2;255697;Yes;exterior
Horta-Guinardó;la Teixonera;new;Flat;2;53; floor 3;255697;Yes;exterior
Horta-Guinardó;la Teixonera;new;Flat;2;53; floor 1;241815;Yes;exterior
Horta-Guinardó;la Teixonera;new;Flat;2;53; floor 2;247633;Yes;exterior
Horta-Guinardó;la Teixonera;new;Flat;2;53; floor 3;246467;Yes;exterior
Eixample;Sant Antoni;new;Flat;3;95; floor 4;565000;Yes;exterior
Eixample;Sant Antoni;new;Flat;2;81; floor 1;595000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;new;Flat;2;85; floor 1;470000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;new;Penthouse;2;100; floor 2;595000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;new;Flat;2;86;ground floor;425000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;new;Flat;2;78;ground floor;420000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Penthouse;2;57; floor 4;296000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Penthouse;1;46; floor 4;264000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;2;48;ground floor;265000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;2;55; floor 1;256000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;2;53;ground floor;280000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;2;77;ground floor;295000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;3;68; floor 2;315000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;4;99; floor 3;620000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;new;Flat;2;62; floor 3;440000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;3;81; floor 1;395000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;3;78; floor 2;370000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;3;78; floor 1;360000;Yes;exterior
Les Corts;les Corts;new;Flat;3;122; floor 2;620000;Yes;exterior
Les Corts;les Corts;new;Flat;3;190; floor 4;750000;Yes;exterior
Les Corts;les Corts;new;Duplex;2;159;ground floor;560000;Yes;exterior
Les Corts;les Corts;new;Flat;3;114; floor 3;620000;Yes;exterior
Les Corts;les Corts;new;Flat;3;122; floor 3;650000;Yes;exterior
Les Corts;les Corts;new;Flat;3;122; floor 1;590000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;new;Duplex;3;131; floor 1;830000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;new;Flat;3;113; floor 5;1325000;Yes;exterior
Sant Andreu;la Sagrera;new;Flat;3;85; floor 2;395000;Yes;exterior
Sant Andreu;la Sagrera;new;Flat;3;84; floor 1;385000;Yes;exterior
Sant Andreu;la Sagrera;new;Duplex;4;128;ground floor;580000;Yes;exterior
Sant Andreu;la Sagrera;new;Flat;3;84; floor 1;390000;Yes;exterior
Horta-Guinardó;Horta;new;Flat;3;113;ground floor;285000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;3;99; floor 2;643496;Yes;exterior
Sant Martí;el Poblenou;new;Flat;3;118; floor 1;680434;Yes;exterior
Sant Martí;el Poblenou;new;Flat;3;109; floor 1;527258;Yes;exterior
Sant Martí;el Poblenou;new;Flat;3;112;ground floor;695610;Yes;exterior
Sant Martí;el Poblenou;new;Flat;2;62; floor 3;413729;Yes;exterior
Sant Martí;el Poblenou;new;Flat;2;68; floor 2;409877;Yes;exterior
Sant Martí;el Poblenou;new;Flat;3;85; floor 4;545713;Yes;exterior
Sant Martí;el Poblenou;new;Flat;2;62; floor 1;560204;Yes;exterior
Sant Martí;el Poblenou;new;Flat;2;62; floor 4;429209;Yes;exterior
Sant Martí;el Poblenou;new;Flat;2;62; floor 1;387537;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;new;Detached;5;572;Multiple;2985000;No;exterior
Gràcia;la Vila de Gràcia;new;Flat;3;97; floor 3;506000;Yes;exterior
Gràcia;la Vila de Gràcia;new;Flat;3;92; floor 2;453000;Yes;exterior
Gràcia;la Vila de Gràcia;new;Flat;3;97; floor 4;523000;Yes;exterior
Gràcia;la Vila de Gràcia;new;Duplex;3;175;ground floor;826000;Yes;exterior
Horta-Guinardó;la Font d'en Fargues;new;Flat;2;76; floor 1;282000;Yes;exterior
Sants-Montjuïc;la Marina de Port;new;Flat;3;89; floor 2;285000;Yes;exterior
Sants-Montjuïc;la Marina de Port;new;Flat;2;70; floor 1;245000;Yes;exterior
Sants-Montjuïc;la Marina de Port;new;Flat;2;61; floor 2;224000;Yes;exterior
Sants-Montjuïc;la Marina de Port;new;Flat;4;102; floor 6;456000;Yes;exterior
Horta-Guinardó;el Carmel;new;Penthouse;3;79; floor 4;288000;Yes;exterior
Horta-Guinardó;el Carmel;new;Penthouse;2;50; floor 4;220000;Yes;exterior
Horta-Guinardó;el Carmel;new;Flat;3;62; floor 3;235000;Yes;exterior
Horta-Guinardó;el Carmel;new;Flat;3;63; floor 1;268000;Yes;exterior
Horta-Guinardó;el Carmel;new;Flat;2;56; floor 1;238000;Yes;exterior
Horta-Guinardó;el Carmel;new;Flat;4;88; floor 3;298000;Yes;exterior
Horta-Guinardó;el Carmel;new;Flat;2;56; floor 2;216000;Yes;exterior
Horta-Guinardó;el Carmel;new;Flat;3;62; floor 2;258000;Yes;exterior
Horta-Guinardó;el Carmel;new;Flat;2;56; floor 2;220000;Yes;exterior
Horta-Guinardó;el Carmel;new;Flat;3;86;ground floor;269000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Duplex;2;75;ground floor;283000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;3;100; floor 2;435000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;1;50; floor 1;269000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;1;50; floor 1;259000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;3;100; floor 3;450000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;new;Flat;3;200; floor 2;2360000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;new;Flat;3;200; floor 3;2360000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;new;Flat;2;82; floor 3;540000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;new;Flat;2;82; floor 2;525000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;new;Penthouse;1;67; floor 4;475000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;new;Flat;2;82; floor 1;500000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;new;Penthouse;1;50; floor 4;360000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;new;Flat;1;50; floor 2;335000;Yes;exterior
Sant Andreu;Navas;new;Flat;2;77; floor 2;345000;Yes;exterior
Sant Andreu;Navas;new;Flat;2;77; floor 6;425000;Yes;exterior
Sant Andreu;Navas;new;Flat;2;77; floor 4;355000;Yes;exterior
Sant Andreu;Navas;new;Flat;2;77;mezzanine;340000;Yes;exterior
Sant Andreu;Navas;new;Flat;2;77; floor 1;340000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Duplex;2;100;ground floor;485000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Duplex;2;94;ground floor;465000;Yes;exterior
Horta-Guinardó;Can Baró;new;Duplex;2;105;ground floor;367500;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;2;69; floor 6;624000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;2;73; floor 2;648000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;2;70; floor 4;624000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;2;69; floor 5;616000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;2;70; floor 3;616000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;2;73; floor 2;639000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;2;69; floor 3;599000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;2;70; floor 2;607000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;2;73; floor 7;683000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;2;69; floor 2;591000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Penthouse;1;108; floor 2;703000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Penthouse;1;164; floor 2;986500;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;1;153;ground floor;916000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Penthouse;1;138; floor 2;826500;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;1;105; floor 1;577000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;1;76; floor 1;496000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;1;115; floor 1;630000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Penthouse;1;110; floor 2;717000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Penthouse;1;151; floor 2;907500;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;1;118; floor 1;648000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;1;103;ground floor;545000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;1;63; floor 1;410000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;1;75;ground floor;452500;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;4;114; floor 5;596000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;2;67; floor 4;375000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;3;95; floor 3;499000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;new;Flat;4;119; floor 3;630000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;4;91; floor 2;410000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;3;88; floor 1;395000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;3;87; floor 1;380000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;4;114; floor 2;490000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;4;109; floor 1;480000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;3;84; floor 1;380000;Yes;exterior
Sant Andreu;Sant Andreu;new;Duplex;4;147;ground floor;520000;Yes;exterior
Sant Andreu;Sant Andreu;new;Duplex;3;120;ground floor;385000;Yes;exterior
Sant Andreu;Sant Andreu;new;Duplex;3;96;ground floor;360000;Yes;exterior
Sant Andreu;Sant Andreu;new;Duplex;4;114;ground floor;375000;Yes;exterior
Sant Andreu;Sant Andreu;new;Duplex;3;112;ground floor;420000;Yes;exterior
Horta-Guinardó;Horta;new;Flat;1;55;ground floor;162000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;3;86; floor 4;445000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;3;86; floor 3;410000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;3;86; floor 2;405000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;3;86; floor 1;400000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;2;69; floor 4;385000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;2;69; floor 3;350000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;2;69; floor 2;345000;Yes;exterior
Sant Andreu;Sant Andreu;new;Flat;2;69; floor 1;340000;Yes;exterior
Eixample;la Sagrada Família;new;Flat;3;148; floor 4;745000;Yes;exterior
Horta-Guinardó;la Font d'en Fargues;new;Flat;3;112;ground floor;495000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Duplex;3;104; floor 4;620000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Duplex;3;104;ground floor;645000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;3;104; floor 1;429000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;3;91; floor 1;409000;Yes;exterior
Sant Martí;el Clot;new;Flat;3;95; floor 3;575000;Yes;exterior
Sant Martí;el Clot;new;Flat;3;95;ground floor;457000;Yes;exterior
Sant Martí;el Clot;new;Flat;2;83;ground floor;358000;Yes;exterior
Sant Martí;el Clot;new;Flat;2;82; floor 2;398000;Yes;exterior
Sant Martí;el Clot;new;Flat;3;91; floor 1;446000;Yes;exterior
Sant Martí;el Clot;new;Flat;3;91; floor 2;455000;Yes;exterior
Sant Martí;el Clot;new;Flat;2;81; floor 1;391000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;1;78; floor 2;495000;Yes;exterior
Horta-Guinardó;la Font d'en Fargues;new;Flat;3;115; floor 2;450000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Penthouse;2;140; floor 5;650000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;2;100; floor 4;450000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;2;100; floor 3;450000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;3;113; floor 3;750000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;3;113; floor 2;750000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;3;106; floor 1;690000;Yes;exterior
Horta-Guinardó;la Teixonera;new;Flat;2;53; floor 1;252920;Yes;exterior
Sants-Montjuïc;Sants - Badal;new;Flat;2;72; floor 2;340000;Yes;exterior
Sants-Montjuïc;Sants - Badal;new;Flat;3;92; floor 2;435000;Yes;exterior
Sants-Montjuïc;Sants - Badal;new;Flat;3;107; floor 2;493718;Yes;exterior
Sant Andreu;Navas;new;Flat;2;56; floor 4;282000;Yes;exterior
Sant Andreu;Navas;new;Flat;2;56; floor 3;272000;Yes;exterior
Sant Andreu;Navas;new;Flat;2;56; floor 4;286000;Yes;exterior
Sant Andreu;Navas;new;Flat;2;56; floor 3;268000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;new;Flat;2;145;ground floor;1210000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;new;Flat;2;198; floor 1;1940000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;3;92; floor 3;606000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;2;92; floor 2;690000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;2;63;ground floor;296000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;2;88; floor 2;650000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;2;76;ground floor;398000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;2;61; floor 2;328000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;2;61; floor 1;298000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;3;85; floor 1;408000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;2;58; floor 4;398000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;2;61; floor 3;348000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;new;Flat;1;29;ground floor;118000;Yes;exterior
Horta-Guinardó;el Carmel;new;Flat;2;75; floor 2;337000;Yes;exterior
Horta-Guinardó;el Carmel;new;Flat;2;75; floor 1;335000;Yes;exterior
Horta-Guinardó;el Carmel;new;Duplex;3;116;ground floor;395000;Yes;exterior
Sants-Montjuïc;la Marina de Port;new;Flat;4;118; floor 1;502000;Yes;exterior
Horta-Guinardó;Can Baró;new;Flat;2;74; floor 2;296500;Yes;exterior
Horta-Guinardó;Can Baró;new;Duplex;4;230;ground floor;599000;Yes;exterior
Horta-Guinardó;Can Baró;new;Flat;1;52; floor 1;201500;Yes;exterior
Horta-Guinardó;Can Baró;new;Flat;1;62; floor 1;225500;Yes;exterior
Horta-Guinardó;Can Baró;new;Flat;1;62; floor 2;235500;Yes;exterior
Horta-Guinardó;Can Baró;new;Flat;1;52; floor 2;209500;Yes;exterior
Sant Martí;Provençals del Poblenou;new;Flat;2;69; floor 2;435000;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Duplex;2;110; floor 6;795000;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;new;Flat;1;63;ground floor;356000;Yes;exterior
Sants-Montjuïc;Sants;new;Flat;2;76; floor 1;340000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;new;Flat;3;77;ground floor;268000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;new;Flat;3;87; floor 2;312000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;new;Flat;1;47;ground floor;156000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;new;Penthouse;3;73; floor 3;358000;Yes;exterior
Gràcia;el Coll;new;Flat;3;72; floor 1;365000;Yes;exterior
Gràcia;el Coll;new;Flat;4;103; floor 2;465000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;new;Flat;2;55; floor 3;267000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;new;Flat;2;61; floor 2;274000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;new;Flat;2;55; floor 2;260000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;new;Flat;2;74;ground floor;347000;Yes;exterior
Sant Andreu;el Congrés i els Indians;new;Flat;3;90; floor 2;418000;Yes;exterior
Sant Andreu;el Congrés i els Indians;new;Flat;2;143;ground floor;455000;Yes;exterior
Sant Andreu;el Congrés i els Indians;new;Flat;3;98; floor 4;467000;Yes;exterior
Sant Andreu;el Congrés i els Indians;new;Flat;3;94; floor 4;458000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;4;115; floor 1;601500;Yes;exterior
Sant Martí;el Clot;new;Flat;2;70;ground floor;285000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;1;70;ground floor;295000;Yes;exterior
Gràcia;la Vila de Gràcia;new;Flat;2;90;ground floor;622250;Yes;exterior
Gràcia;la Vila de Gràcia;new;Flat;1;71;ground floor;523450;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;new;Flat;3;73; floor 5;462000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Duplex;4;187;ground floor;778000;Yes;exterior
Les Corts;les Corts;new;Flat;3;120; floor 1;820000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;new;Flat;2;75; floor 2;425000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;new;Flat;2;75; floor 4;450000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;new;Flat;2;74; floor 4;445000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;new;Flat;2;75; floor 3;440000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;4;113; floor 1;705000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Duplex;2;62; floor 2;305000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;1;45; floor 1;240000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;1;45; floor 2;250000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;2;63; floor 2;315000;Yes;exterior
Horta-Guinardó;el Guinardó;new;Flat;2;63; floor 1;305000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;3;90; floor 1;650000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;3;130;ground floor;1125000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;new;Flat;4;146; floor 2;1195000;Yes;exterior
Gràcia;la Vila de Gràcia;new;Flat;3;92; floor 1;442000;Yes;exterior
Sant Martí;el Poblenou;new;Flat;2;63; floor 2;394000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;new;Flat;2;70; floor 1;371000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;2;79; floor 2;638000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;2;69; floor 2;571000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;2;79; floor 2;661000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;2;59; floor 2;510000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;3;88; floor 2;694000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;2;79;mezzanine;483000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;2;71;mezzanine;431000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;2;82;mezzanine;498000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;2;56;mezzanine;357000;Yes;exterior
Ciutat Vella;el Barri Gòtic;new;Flat;2;90;mezzanine;533000;Yes;exterior
Les Corts;les Corts;new;Flat;2;72; floor 2;510000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;new;Flat;4;154; floor 1;1253000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;new;Flat;3;117; floor 1;978000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;new;Flat;2;86;ground floor;545000;Yes;exterior
Horta-Guinardó;la Font d'en Fargues;new;Flat;2;68; floor 1;320000;Yes;exterior
Horta-Guinardó;la Font d'en Fargues;new;Flat;4;130; floor 2;584000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Duplex;3;102; floor 4;595000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;2;52; floor 1;305000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;2;52; floor 2;300000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;2;52; floor 3;305000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;2;52; floor 2;310000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;new;Flat;2;52; floor 3;315000;Yes;exterior
