district;neighborhood;condition;type;rooms;area_m2;floor;prices;lift;views
Les Corts;Pedralbes;good condition;Flat;4;225; floor 1;1350000;Yes;exterior
Eixample;el Fort Pienc;good condition;Flat;3;158; floor 4;599000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;2;102; floor 4;595000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;173; floor 4;1600000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;136;mezzanine;745000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;6;235; floor 4;1220000;Yes;exterior
Ciutat Vella;la Barceloneta;good condition;Flat;3;76; floor 3;395000;No;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;122; floor 1;620000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;3;78; floor 3;390000;Yes;exterior
Sant Martí;la Verneda i la Pau;good condition;Flat;3;79; floor 1;150000;No;exterior
Ciutat Vella;el Raval;good condition;Flat;3;108; floor 2;298000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;109; floor 1;380000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;good condition;Flat;3;73;ground floor;283000;Yes;exterior
Nou Barris;les Roquetes;good condition;Flat;3;105; floor 1;240000;No;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;154; floor 3;590000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;2;65; floor 4;290000;Yes;interior
Horta-Guinardó;el Baix Guinardó;good condition;Flat;3;122; floor 3;450000;Yes;exterior
Nou Barris;la Prosperitat;good condition;Penthouse;2;60; floor 4;254900;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;4;87; floor 4;354000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;3;116;mezzanine;845000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;240; floor 6;960000;Yes;exterior
Les Corts;les Corts;good condition;Flat;4;96; floor 4;385000;Yes;exterior
Horta-Guinardó;el Guinardó;good condition;Flat;3;88; floor 1;340000;Yes;exterior
Sant Martí;el Clot;good condition;Penthouse;3;114; floor 5;465000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;152; floor 4;750000;Yes;exterior
Sant Martí;Provençals del Poblenou;good condition;Duplex;2;107;ground floor;698000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;3;148; floor 2;1300000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;3;140; floor 8;635000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;good condition;Penthouse;2;42; floor 6;192100;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;180; floor 1;1095000;Yes;exterior
Horta-Guinardó;el Baix Guinardó;good condition;Flat;3;87; floor 5;625000;Yes;exterior
