district;neighborhood;rooms;area_m2;lift;prices;compra;eurometro
Eixample;la Dreta de l'Eixample;2;105;1;565000;0;5380
Eixample;l'Antiga Esquerra de l'Eixample;4;65;1;350000;0;5384
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;2;78;1;420000;0;5384
Les Corts;Pedralbes;5;371;1;2000000;0;5390
Nou Barris;Vilapicina i la Torre Llobeta;2;70;1;377400;0;5391
Gràcia;la Vila de Gràcia;3;97;1;523000;0;5391
Les Corts;les Corts;2;102;1;550000;0;5392
Les Corts;les Corts;2;102;1;550000;0;5392
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;89;1;480000;0;5393
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;203;1;1095000;0;5394
Sant Martí;el Camp de l'Arpa del Clot;4;101;1;545000;0;5396
Eixample;la Nova Esquerra de l'Eixample;2;87;1;470000;0;5402
Ciutat Vella;el Raval;3;77;1;416000;0;5402
Eixample;la Nova Esquerra de l'Eixample;2;73;1;395000;0;5410
Eixample;l'Antiga Esquerra de l'Eixample;1;85;1;460000;0;5411
Eixample;la Nova Esquerra de l'Eixample;6;133;1;720000;0;5413
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;120;1;649999;0;5416
Sants-Montjuïc;Sants;2;60;1;325000;0;5416
Eixample;la Nova Esquerra de l'Eixample;3;72;1;390000;0;5416
Eixample;Sant Antoni;3;120;1;650000;0;5416
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;120;1;650000;0;5416
Sant Martí;la Vila Olímpica del Poblenou;1;66;1;358125;0;5426
Eixample;Sant Antoni;1;42;1;228000;0;5428
Ciutat Vella;la Barceloneta;2;35;0;190000;0;5428
Eixample;la Sagrada Família;2;35;1;190000;0;5428
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;70;1;380000;0;5428
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;70;1;380000;0;5428
Ciutat Vella;el Raval;2;81;0;440000;0;5432
Eixample;l'Antiga Esquerra de l'Eixample;3;81;1;440000;0;5432
Eixample;la Nova Esquerra de l'Eixample;3;110;1;598000;0;5436
Les Corts;les Corts;3;114;1;620000;0;5438
Eixample;la Dreta de l'Eixample;5;182;1;990000;0;5439
Sarrià-Sant Gervasi;el Putxet i el Farró;3;90;0;490000;0;5444
Les Corts;les Corts;2;67;1;365000;0;5447
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;5;145;1;790000;0;5448
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;145;1;790000;0;5448
Sarrià-Sant Gervasi;les Tres Torres;5;145;1;790000;0;5448
Sant Martí;el Poblenou;2;86;1;469000;0;5453
Horta-Guinardó;el Baix Guinardó;4;121;1;660000;0;5454
Les Corts;les Corts;2;105;1;573000;0;5457
Ciutat Vella;el Barri Gòtic;3;174;1;950000;0;5459
Ciutat Vella;el Barri Gòtic;2;130;1;710000;0;5461
