district;neighborhood;rooms;area_m2;lift;prices;compra;eurometro
Les Corts;Pedralbes;4;170;1;1250000;0;7352
Gràcia;la Vila de Gràcia;1;71;1;523450;0;7372
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;11;773;0;5700000;0;7373
Sarrià-Sant Gervasi;el Putxet i el Farró;2;80;1;590000;0;7375
Sant Martí;el Poblenou;2;88;1;650000;0;7386
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;3;131;1;970000;0;7404
Les Corts;Pedralbes;9;605;0;4500000;0;7438
Les Corts;Pedralbes;9;605;0;4500000;0;7438
Sant Martí;el Poblenou;4;133;1;990000;0;7443
Ciutat Vella;el Barri Gòtic;2;106;1;790000;0;7452
Les Corts;les Corts;2;71;1;530500;0;7471
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;10;327;0;2450000;0;7492
Sant Martí;Provençals del Poblenou;2;58;1;435000;0;7500
Eixample;l'Antiga Esquerra de l'Eixample;3;76;1;570000;0;7500
Eixample;l'Antiga Esquerra de l'Eixample;2;84;1;630000;0;7500
Eixample;l'Antiga Esquerra de l'Eixample;2;84;1;630000;0;7500
Sant Martí;el Poblenou;2;92;1;690000;0;7500
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;140;1;1050000;0;7500
Sarrià-Sant Gervasi;Sarrià;8;520;0;3900000;0;7500
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;185;1;1390000;0;7513
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;185;1;1390000;0;7513
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;185;1;1390000;0;7513
Les Corts;Pedralbes;5;212;1;1595000;0;7523
Les Corts;Pedralbes;5;212;1;1595000;0;7523
Eixample;la Dreta de l'Eixample;3;172;1;1295000;0;7529
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;232;1;1750000;0;7543
Les Corts;Pedralbes;7;331;1;2500000;0;7552
Eixample;la Dreta de l'Eixample;3;90;1;680000;0;7555
Eixample;l'Antiga Esquerra de l'Eixample;2;91;1;690000;0;7582
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;73;0;554000;0;7589
Eixample;la Dreta de l'Eixample;6;237;1;1800000;0;7594
Eixample;l'Antiga Esquerra de l'Eixample;2;71;1;540000;0;7605
Ciutat Vella;el Barri Gòtic;4;222;0;1690000;0;7612
Sarrià-Sant Gervasi;Sarrià;6;512;0;3900000;0;7617
Les Corts;Pedralbes;5;314;1;2400000;0;7643
Ciutat Vella;el Barri Gòtic;4;221;1;1690000;0;7647
Eixample;l'Antiga Esquerra de l'Eixample;2;90;1;690000;0;7666
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;150;1;1150000;0;7666
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;101;1;775000;0;7673
Sarrià-Sant Gervasi;Sarrià;4;182;1;1400000;0;7692
Les Corts;les Corts;4;127;1;977500;0;7696
Ciutat Vella;el Raval;2;62;1;478000;0;7709
Sant Martí;el Poblenou;1;56;1;432000;0;7714
Les Corts;Pedralbes;3;210;1;1620000;0;7714
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;90;1;695000;0;7722
Eixample;la Dreta de l'Eixample;2;101;1;780000;0;7722
Les Corts;Pedralbes;8;750;0;5800000;0;7733
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;93;1;720000;0;7741
Les Corts;les Corts;2;71;1;550000;0;7746
Les Corts;Pedralbes;3;58;1;450000;0;7758
Les Corts;les Corts;2;89;1;692000;0;7775
Eixample;la Dreta de l'Eixample;7;212;1;1650000;0;7783
Sarrià-Sant Gervasi;les Tres Torres;5;340;0;2650000;0;7794
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;118;1;921000;0;7805
Eixample;la Dreta de l'Eixample;2;165;1;1290000;0;7818
Les Corts;les Corts;2;81;1;634500;0;7833
Ciutat Vella;el Barri Gòtic;4;215;1;1690000;0;7860
Eixample;la Dreta de l'Eixample;3;318;1;2500000;0;7861
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;3;318;1;2500000;0;7861
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;318;1;2500000;0;7861
Sarrià-Sant Gervasi;el Putxet i el Farró;5;248;0;1950000;0;7862
Eixample;l'Antiga Esquerra de l'Eixample;2;80;1;630000;0;7875
Ciutat Vella;el Barri Gòtic;3;88;1;694000;0;7886
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;1;51;1;403000;0;7901
Sarrià-Sant Gervasi;Sarrià;4;201;0;1590000;0;7910
Sarrià-Sant Gervasi;Sarrià;4;139;1;1100000;0;7913
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;101;1;800000;0;7920
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;197;1;1570000;0;7969
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;185;1;1475000;0;7972
Eixample;la Dreta de l'Eixample;2;100;1;800000;0;8000
Eixample;l'Antiga Esquerra de l'Eixample;2;149;1;1200000;0;8053
Eixample;Sant Antoni;2;72;1;580000;0;8055
Eixample;la Nova Esquerra de l'Eixample;2;72;1;580000;0;8055
Eixample;la Sagrada Família;2;62;1;500000;0;8064
Ciutat Vella;el Barri Gòtic;2;88;1;710000;0;8068
Ciutat Vella;el Barri Gòtic;2;79;1;638000;0;8075
Ciutat Vella;el Barri Gòtic;3;198;1;1600000;0;8080
Eixample;l'Antiga Esquerra de l'Eixample;2;80;1;650000;0;8125
Les Corts;Pedralbes;6;800;0;6500000;0;8125
Les Corts;Pedralbes;6;800;0;6500000;0;8125
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;6;492;1;4000000;0;8130
Eixample;la Dreta de l'Eixample;1;59;1;480000;0;8135
Sarrià-Sant Gervasi;Sarrià;4;154;1;1253000;0;8136
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;214;1;1750000;0;8177
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;146;1;1195000;0;8184
Ciutat Vella;el Barri Gòtic;2;72;1;590000;0;8194
Ciutat Vella;el Barri Gòtic;2;72;1;590000;0;8194
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;91;1;749000;0;8230
Eixample;la Dreta de l'Eixample;4;200;1;1650000;0;8250
Eixample;l'Antiga Esquerra de l'Eixample;3;118;1;975000;0;8262
Eixample;la Dreta de l'Eixample;2;121;1;1000000;0;8264
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;139;1;1150000;0;8273
Ciutat Vella;el Barri Gòtic;2;69;1;571000;0;8275
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;102;1;845000;0;8284
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;106;1;880000;0;8301
Eixample;la Dreta de l'Eixample;3;95;1;790000;0;8315
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;87;1;725000;0;8333
Sarrià-Sant Gervasi;les Tres Torres;2;145;1;1210000;0;8344
Sarrià-Sant Gervasi;Sarrià;3;117;1;978000;0;8358
Ciutat Vella;el Barri Gòtic;2;79;1;661000;0;8367
Les Corts;Pedralbes;5;145;1;1220000;0;8413
Eixample;l'Antiga Esquerra de l'Eixample;3;90;1;760000;0;8444
Les Corts;Pedralbes;1;29;1;245000;0;8448
Eixample;la Dreta de l'Eixample;3;290;1;2450000;0;8448
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;69;1;583000;0;8449
Eixample;la Dreta de l'Eixample;3;136;1;1150000;0;8455
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;335;0;2850000;0;8507
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;70;1;599000;0;8557
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;69;1;591000;0;8565
Eixample;la Dreta de l'Eixample;3;115;1;990000;0;8608
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;230;1;1980000;0;8608
Eixample;l'Antiga Esquerra de l'Eixample;2;80;1;690000;0;8625
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;95;1;820000;0;8631
Ciutat Vella;el Barri Gòtic;2;59;1;510000;0;8644
Les Corts;les Corts;2;185;1;1600000;0;8648
Les Corts;les Corts;2;185;1;1600000;0;8648
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;3;176;1;1522500;0;8650
Eixample;la Sagrada Família;3;115;1;995000;0;8652
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;130;1;1125000;0;8653
Eixample;la Dreta de l'Eixample;3;158;1;1368000;0;8658
Eixample;la Dreta de l'Eixample;2;75;1;650000;0;8666
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;70;1;607000;0;8671
Eixample;la Dreta de l'Eixample;3;265;1;2300000;0;8679
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;69;1;599000;0;8681
Les Corts;Pedralbes;5;140;1;1220000;0;8714
Eixample;la Dreta de l'Eixample;6;180;1;1570000;0;8722
Eixample;la Dreta de l'Eixample;2;75;1;655000;0;8733
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;73;1;639000;0;8753
Eixample;la Dreta de l'Eixample;4;225;1;1975000;0;8777
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;353;1;3100000;0;8781
Sarrià-Sant Gervasi;Sarrià;3;148;1;1300000;0;8783
Eixample;la Dreta de l'Eixample;3;227;1;1995000;0;8788
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;70;1;616000;0;8800
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;69;1;608000;0;8811
Eixample;la Dreta de l'Eixample;3;203;1;1790000;0;8817
Eixample;la Dreta de l'Eixample;1;88;1;780000;0;8863
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;73;1;648000;0;8876
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;1;90;1;800000;0;8888
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;90;1;800000;0;8888
Eixample;l'Antiga Esquerra de l'Eixample;2;149;1;1325000;0;8892
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;2;200;1;1780000;0;8900
Sarrià-Sant Gervasi;el Putxet i el Farró;2;63;1;561000;0;8904
Sarrià-Sant Gervasi;Sarrià;4;230;1;2050000;0;8913
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;70;1;624000;0;8914
Les Corts;Pedralbes;6;255;1;2275000;0;8921
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;69;1;616000;0;8927
Les Corts;Pedralbes;5;280;1;2500000;0;8928
Eixample;la Dreta de l'Eixample;3;132;1;1180000;0;8939
Eixample;la Dreta de l'Eixample;3;223;1;1995000;0;8946
Eixample;l'Antiga Esquerra de l'Eixample;4;210;1;1879000;0;8947
Eixample;l'Antiga Esquerra de l'Eixample;2;148;1;1325000;0;8952
Eixample;la Dreta de l'Eixample;1;77;1;690000;0;8961
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;3;145;1;1300000;0;8965
Sarrià-Sant Gervasi;Sarrià;3;256;0;2300000;0;8984
Les Corts;Pedralbes;6;439;1;3950000;0;8997
Sant Martí;el Poblenou;2;62;1;560204;0;9035
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;69;1;624000;0;9043
Sarrià-Sant Gervasi;el Putxet i el Farró;1;45;1;407000;0;9044
Eixample;la Dreta de l'Eixample;3;175;1;1600000;0;9142
Eixample;la Dreta de l'Eixample;3;179;1;1650000;0;9217
Eixample;la Dreta de l'Eixample;3;173;1;1600000;0;9248
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;73;1;683000;0;9356
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;3;149;1;1400000;0;9395
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;665;1;6250000;0;9398
Sarrià-Sant Gervasi;el Putxet i el Farró;2;62;1;583000;0;9403
Eixample;la Dreta de l'Eixample;7;259;1;2450000;0;9459
Eixample;la Dreta de l'Eixample;3;158;1;1495000;0;9462
Sant Martí;el Poblenou;3;115;1;1090000;0;9478
Eixample;la Dreta de l'Eixample;7;228;1;2200000;0;9649
Eixample;la Nova Esquerra de l'Eixample;3;123;1;1190000;0;9674
Eixample;la Nova Esquerra de l'Eixample;2;175;1;1700000;0;9714
Eixample;la Dreta de l'Eixample;3;200;1;1950000;0;9750
Eixample;la Dreta de l'Eixample;3;169;1;1650000;0;9763
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;106;1;1035000;0;9764
Eixample;la Dreta de l'Eixample;3;153;1;1495000;0;9771
Eixample;la Dreta de l'Eixample;3;153;1;1495000;0;9771
Sarrià-Sant Gervasi;el Putxet i el Farró;1;45;1;440000;0;9777
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;183;1;1790000;0;9781
Les Corts;les Corts;2;73;1;715000;0;9794
Eixample;la Dreta de l'Eixample;3;146;1;1430000;0;9794
Eixample;la Dreta de l'Eixample;3;146;1;1430000;0;9794
Sarrià-Sant Gervasi;les Tres Torres;2;198;1;1940000;0;9797
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;280;1;2750000;0;9821
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;115;1;1130000;0;9826
Eixample;l'Antiga Esquerra de l'Eixample;3;111;1;1095000;0;9864
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;4;170;1;1686000;0;9917
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;3;130;1;1290000;0;9923
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;138;1;1370000;0;9927
Sarrià-Sant Gervasi;Sarrià;3;146;1;1450000;0;9931
Eixample;la Dreta de l'Eixample;3;150;1;1495000;0;9966
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;120;1;1200000;0;10000
Eixample;la Dreta de l'Eixample;4;230;1;2300000;0;10000
Eixample;la Dreta de l'Eixample;2;85;1;858000;0;10094
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;282;1;2850000;0;10106
Eixample;la Dreta de l'Eixample;1;86;1;870000;0;10116
Eixample;la Dreta de l'Eixample;3;152;1;1550000;0;10197
Eixample;l'Antiga Esquerra de l'Eixample;3;105;1;1075000;0;10238
Les Corts;Pedralbes;4;218;1;2250000;0;10321
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;1;111;1;1150000;0;10360
Sarrià-Sant Gervasi;les Tres Torres;3;265;0;2750000;0;10377
Sarrià-Sant Gervasi;el Putxet i el Farró;1;50;1;520000;0;10400
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;134;1;1395000;0;10410
Les Corts;Pedralbes;5;660;0;6900000;0;10454
Eixample;la Dreta de l'Eixample;3;200;1;2100000;0;10500
Les Corts;les Corts;2;82;1;862000;0;10512
Eixample;la Dreta de l'Eixample;4;475;1;5000000;0;10526
Eixample;la Dreta de l'Eixample;3;217;1;2290000;0;10552
Les Corts;les Corts;2;65;1;692000;0;10646
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;140;1;1500000;0;10714
Les Corts;Pedralbes;3;271;1;2980000;0;10996
Eixample;la Dreta de l'Eixample;4;250;1;2750000;0;11000
Eixample;la Dreta de l'Eixample;2;195;1;2158000;0;11066
Les Corts;Pedralbes;7;900;0;10000000;0;11111
Eixample;la Dreta de l'Eixample;3;139;1;1570000;0;11294
Les Corts;les Corts;3;95;1;1082000;0;11389
Eixample;la Dreta de l'Eixample;2;192;1;2188000;0;11395
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;5;300;1;3500000;0;11666
Ciutat Vella;el Barri Gòtic;2;299;1;3500000;0;11705
Eixample;l'Antiga Esquerra de l'Eixample;3;113;1;1325000;0;11725
Sarrià-Sant Gervasi;les Tres Torres;3;200;1;2360000;0;11800
Sarrià-Sant Gervasi;les Tres Torres;3;200;1;2360000;0;11800
Eixample;la Dreta de l'Eixample;4;231;1;2750000;0;11904
Les Corts;les Corts;3;121;1;1454000;0;12016
Gràcia;la Vila de Gràcia;4;191;1;2300000;0;12041
Eixample;l'Antiga Esquerra de l'Eixample;3;105;1;1269000;0;12085
Eixample;l'Antiga Esquerra de l'Eixample;2;156;1;1900000;0;12179
Sarrià-Sant Gervasi;el Putxet i el Farró;3;105;1;1280000;0;12190
Sarrià-Sant Gervasi;les Tres Torres;2;224;0;2750000;0;12276
Ciutat Vella;el Barri Gòtic;3;200;1;2500000;0;12500
Eixample;la Dreta de l'Eixample;3;147;1;1850000;0;12585
Eixample;la Dreta de l'Eixample;5;197;1;2500000;0;12690
Eixample;l'Antiga Esquerra de l'Eixample;2;149;1;1900000;0;12751
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;5;264;1;3500000;0;13257
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;3;188;1;2500000;0;13297
Eixample;l'Antiga Esquerra de l'Eixample;4;144;1;1980000;0;13750
Les Corts;les Corts;2;115;1;1600000;0;13913
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;57;1;795000;0;13947
Eixample;la Dreta de l'Eixample;5;214;1;3000000;0;14018
Eixample;l'Antiga Esquerra de l'Eixample;3;105;1;1475000;0;14047
Sant Martí;el Poblenou;2;134;1;1900000;0;14179
Eixample;la Dreta de l'Eixample;2;150;1;2158000;0;14386
Eixample;la Dreta de l'Eixample;3;114;1;1650000;0;14473
Eixample;l'Antiga Esquerra de l'Eixample;4;204;1;2975000;0;14583
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;4;130;1;1950000;0;15000
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;4;132;1;1980000;0;15000
Eixample;la Dreta de l'Eixample;2;145;1;2188000;0;15089
Eixample;l'Antiga Esquerra de l'Eixample;3;90;1;1430000;0;15888
Eixample;la Dreta de l'Eixample;3;140;1;2500000;0;17857
Eixample;la Dreta de l'Eixample;4;600;1;12000000;0;20000
